z,rho,rho_a,rho_b,wa,wb,x,y,Na_z,Na_x,Na_y,Nb_z,Nb_x,Nb_y,U_z,U_x,U_y,U_ver_z,U_ver_x,U_ver_y,ja_z,ja_x,ja_y,jb_z,Na,Nb,U,U_ver,ja,jb,rho_a_analytical,rho_b_analytical,wa_analytical,wb_analytical,ja_analytical,jb_analytical,U_analytical,Na_analytical,Nb_analytical,U_ver_analytical,U_ver_abs_error,U_ver_rel_error,ja_abs_error,ja_rel_error,Na_abs_error,Na_rel_error,wb_abs_error,wb_rel_error,Nb_abs_error,Nb_rel_error,U_abs_error,U_rel_error,jb_abs_error,jb_rel_error,wa_abs_error,wa_rel_error
0.0000000000000000e+00,1.4961500000000001e+00,1.4213400000000000e+00,7.4807499999999999e-02,9.4999999999999996e-01,5.0000000000000003e-02,0,0,2.5477600000000002e-05,0,0,-1.6765100000000000e-05,0,0,5.8232999999999998e-06,0,0,5.8232999999999998e-06,0,0,1.7200699999999999e-05,0,0,-1.7200699999999999e-05,2.5477600000000002e-05,-1.6765100000000000e-05,5.8232999999999998e-06,5.8232999999999998e-06,1.7200699999999999e-05,-1.7200699999999999e-05,1.4213431382812498e+00,7.4807533593750142e-02,9.4999999999999996e-01,5.0000000000000100e-02,1.7196439713137327e-05,-1.7196439713137327e-05,5.8218433389664868e-06,2.5471276795125741e-05,-1.6760921971980039e-05,5.8218433389664860e-06,1.4566610335138368e-09,2.5020611144894133e-04,4.2602868626728200e-09,2.4774236330301464e-04,6.3232048742609755e-09,2.4824843594894178e-04,9.7144514654701197e-17,1.9428902930551623e-15,4.1780280199605647e-09,2.4927195399353339e-04,1.4566610335129898e-09,2.5020611144879583e-04,4.2602868626728200e-09,2.4774236330301464e-04,0.0000000000000000e+00,0.0000000000000000e+00
5.5000000000000000e-02,1.4961500000000001e+00,1.3597399999999999e+00,1.3641000000000000e-01,9.0882600000000002e-01,9.1173599999999994e-02,0,0,2.5440899999999999e-05,0,0,-1.6740900000000001e-05,0,0,5.8149000000000000e-06,0,0,5.8149000000000000e-06,0,0,1.7534099999999999e-05,0,0,-1.7534099999999999e-05,2.5440899999999999e-05,-1.6740900000000001e-05,5.8149000000000000e-06,5.8149000000000000e-06,1.7534099999999999e-05,-1.7534099999999999e-05,1.3596888744731568e+00,1.3646179740184317e-01,9.0879140719776097e-01,9.1208592802239002e-02,1.7555381178207353e-05,-1.7555381178207353e-05,5.8218433389664868e-06,2.5471276795125741e-05,-1.6760921971980039e-05,5.8218433389664860e-06,6.9433389664859472e-09,1.1926356257952703e-03,2.1281178207353905e-08,1.2122309837134522e-03,3.0376795125741570e-08,1.1925901546860976e-03,3.4992802239008913e-05,3.8365685911301821e-04,2.0021971980038289e-08,1.1945626152873494e-03,6.9433389664867943e-09,1.1926356257954158e-03,2.1281178207353905e-08,1.2122309837134522e-03,3.4592802239052922e-05,3.8064622932209525e-05
1.0500000000000000e-01,1.4961500000000001e+00,1.3026300000000000e+00,1.9352000000000000e-01,8.7065499999999996e-01,1.2934499999999999e-01,0,0,2.5454699999999999e-05,0,0,-1.6750100000000001e-05,0,0,5.8180699999999998e-06,0,0,5.8180699999999998e-06,0,0,1.7875899999999999e-05,0,0,-1.7875899999999999e-05,2.5454699999999999e-05,-1.6750100000000001e-05,5.8180699999999998e-06,5.8180699999999998e-06,1.7875899999999999e-05,-1.7875899999999999e-05,1.3025235059468971e+00,1.9362716592810281e-01,8.7058311066662419e-01,1.2941688933337586e-01,1.7888188998181521e-05,-1.7888188998181521e-05,5.8218433389664851e-06,2.5471276795125737e-05,-1.6760921971980036e-05,5.8218433389664860e-06,3.7733389664861114e-09,6.4813463685907608e-04,1.2288998181521680e-08,6.8698947086155476e-04,1.6576795125738416e-08,6.5080343668155521e-04,7.1889333375874109e-05,5.5548648824445810e-04,1.0821971980035056e-08,6.4566682861836536e-04,3.7733389664852644e-09,6.4813463685893069e-04,1.2288998181521680e-08,6.8698947086155476e-04,7.1889333375763087e-05,8.2576071709722582e-05
1.5500000000000000e-01,1.4961500000000001e+00,1.2444100000000000e+00,2.5174099999999999e-01,8.3174099999999995e-01,1.6825899999999999e-01,0,0,2.5464199999999999e-05,0,0,-1.6756200000000001e-05,0,0,5.8202099999999996e-06,0,0,5.8202099999999996e-06,0,0,1.8221400000000001e-05,0,0,-1.8221400000000001e-05,2.5464199999999999e-05,-1.6756200000000001e-05,5.8202099999999996e-06,5.8202099999999996e-06,1.8221400000000001e-05,-1.8221400000000001e-05,1.2442744194720428e+00,2.5187625240295719e-01,8.3165047669476910e-01,1.6834952330523092e-01,1.8227306054276039e-05,-1.8227306054276039e-05,5.8218433389664868e-06,2.5471276795125744e-05,-1.6760921971980039e-05,5.8218433389664885e-06,1.6333389664888729e-09,2.8055352760922981e-04,5.9060542760374073e-09,3.2402231763862648e-04,7.0767951257446899e-09,2.7783431921499149e-04,9.0523305230932882e-05,5.3771049334229058e-04,4.7219719800386216e-09,2.8172505702296624e-04,1.6333389664871788e-09,2.8055352760893886e-04,5.9060542760374073e-09,3.2402231763862648e-04,9.0523305230849616e-05,1.0884777652086223e-04
2.0499999999999999e-01,1.4961500000000001e+00,1.1850700000000001e+00,3.1108100000000000e-01,7.9207899999999998e-01,2.0792099999999999e-01,0,0,2.5468899999999999e-05,0,0,-1.6759300000000001e-05,0,0,5.8212899999999998e-06,0,0,5.8212899999999998e-06,0,0,1.8570200000000001e-05,0,0,-1.8570200000000001e-05,2.5468899999999999e-05,-1.6759300000000001e-05,5.8212899999999998e-06,5.8212899999999998e-06,1.8570200000000001e-05,-1.8570200000000001e-05,1.1849210703617952e+00,3.1122960151320478e-01,7.9197977358579341e-01,2.0802022641420659e-01,1.8572851954438886e-05,-1.8572851954438886e-05,5.8218433389664860e-06,2.5471276795125741e-05,-1.6760921971980039e-05,5.8218433389664860e-06,5.5333896648616595e-10,9.5045304248790098e-05,2.6519544388850210e-09,1.4278659532762885e-04,2.3767951257411604e-09,9.3312755836536443e-05,9.9226414206593505e-05,4.7700368332711276e-04,1.6219719800386004e-09,9.6771041949785306e-05,5.5333896648616595e-10,9.5045304248790098e-05,2.6519544388850210e-09,1.4278659532762885e-04,9.9226414206565750e-05,1.2528907620604972e-04
2.5500000000000000e-01,1.4961500000000001e+00,1.1246000000000000e+00,3.7155500000000002e-01,7.5165999999999999e-01,2.4834000000000001e-01,0,0,2.5471400000000001e-05,0,0,-1.6761000000000001e-05,0,0,5.8218800000000004e-06,0,0,5.8218800000000004e-06,0,0,1.8924200000000001e-05,0,0,-1.8924200000000001e-05,2.5471400000000001e-05,-1.6761000000000001e-05,5.8218800000000004e-06,5.8218800000000004e-06,1.8924200000000001e-05,-1.8924200000000001e-05,1.1244425244514873e+00,3.7170814742351266e-01,7.5155700932334435e-01,2.4844299067665562e-01,1.8924948574097190e-05,-1.8924948574097190e-05,5.8218433389664860e-06,2.5471276795125741e-05,-1.6760921971980039e-05,5.8218433389664860e-06,3.6661033514450120e-11,6.2971511053760517e-06,7.4857409718947902e-10,3.9554879354292258e-05,1.2320487426093320e-10,4.8370119179694253e-06,1.0299067665561767e-04,4.1454450525933235e-04,7.8028019961739028e-11,4.6553534129464021e-06,3.6661033514450120e-11,6.2971511053760517e-06,7.4857409718947902e-10,3.9554879354292258e-05,1.0299067665564543e-04,1.3703641291062517e-04
3.0499999999999999e-01,1.4961500000000001e+00,1.0629700000000000e+00,4.3317899999999998e-01,7.1047099999999996e-01,2.8952899999999998e-01,0,0,2.5473000000000002e-05,0,0,-1.6762100000000000e-05,0,0,5.8222400000000002e-06,0,0,5.8222400000000002e-06,0,0,1.9284200000000001e-05,0,0,-1.9284200000000001e-05,2.5473000000000002e-05,-1.6762100000000000e-05,5.8222400000000002e-06,5.8222400000000002e-06,1.9284200000000001e-05,-1.9284200000000001e-05,1.0628174507150225e+00,4.3333322115997741e-01,7.1036792663608050e-01,2.8963207336391950e-01,1.9283720099143148e-05,-1.9283720099143148e-05,5.8218433389664868e-06,2.5471276795125744e-05,-1.6760921971980043e-05,5.8218433389664860e-06,3.9666103351422306e-10,6.8133225558661992e-05,4.7990085685320526e-10,2.4886320144638950e-05,1.7232048742576653e-09,6.7652863280672271e-05,1.0307336391951472e-04,3.5587689830762737e-04,1.1780280199573747e-09,7.0284197470911063e-05,3.9666103351337602e-10,6.8133225558516492e-05,4.7990085685320526e-10,2.4886320144638950e-05,1.0307336391945920e-04,1.4509856097728678e-04
3.5499999999999998e-01,1.4961500000000001e+00,1.0001800000000001e+00,4.9597500000000000e-01,6.6849899999999995e-01,3.3150099999999999e-01,0,0,2.5474100000000001e-05,0,0,-1.6762800000000002e-05,0,0,5.8224800000000000e-06,0,0,5.8224800000000000e-06,0,0,1.9650600000000001e-05,0,0,-1.9650600000000001e-05,2.5474100000000001e-05,-1.6762800000000002e-05,5.8224800000000000e-06,5.8224800000000000e-06,1.9650600000000001e-05,-1.9650600000000001e-05,1.0000241137413317e+00,4.9612655813366824e-01,6.6839799796907184e-01,3.3160200203092816e-01,1.9649293069734907e-05,-1.9649293069734907e-05,5.8218433389664877e-06,2.5471276795125744e-05,-1.6760921971980039e-05,5.8218433389664885e-06,6.3666103351153058e-10,1.0935727519374944e-04,1.3069302650940326e-09,6.6512835547972678e-05,2.8232048742566891e-09,1.1083876109258036e-04,1.0100203092816562e-04,3.0458812163154761e-04,1.8780280199622978e-09,1.1204800732643892e-04,6.3666103351237761e-10,1.0935727519389494e-04,1.3069302650940326e-09,6.6512835547972678e-05,1.0100203092811011e-04,1.5111061259138090e-04
4.0500000000000003e-01,1.4961500000000001e+00,9.3618699999999999e-01,5.5996400000000002e-01,6.2573100000000004e-01,3.7426900000000002e-01,0,0,2.5474799999999999e-05,0,0,-1.6763199999999999e-05,0,0,5.8226500000000001e-06,0,0,5.8226500000000001e-06,0,0,2.0023699999999999e-05,0,0,-2.0023699999999999e-05,2.5474799999999999e-05,-1.6763199999999999e-05,5.8226500000000001e-06,5.8226500000000001e-06,2.0023699999999999e-05,-2.0023699999999999e-05,9.3604036606821062e-01,5.6011030580678933e-01,6.2563242035987587e-01,3.7436757964012418e-01,2.0021796424927781e-05,-2.0021796424927781e-05,5.8218433389664868e-06,2.5471276795125744e-05,-1.6760921971980043e-05,5.8218433389664860e-06,8.0666103351410563e-10,1.3855764368603967e-04,1.9035750722187523e-09,9.5075133956192174e-05,3.5232048742548359e-09,1.3832069606374621e-04,9.8579640124163426e-05,2.6332312274119393e-04,2.2780280199563986e-09,1.3591304152907785e-04,8.0666103351325860e-10,1.3855764368589417e-04,1.9035750722187523e-09,9.5075133956192174e-05,9.8579640124163426e-05,1.5756798547508286e-04
4.5500000000000002e-01,1.4961500000000001e+00,8.7098399999999998e-01,6.2516700000000003e-01,5.8214999999999995e-01,4.1785000000000000e-01,0,0,2.5475300000000000e-05,0,0,-1.6763600000000000e-05,0,0,5.8227700000000000e-06,0,0,5.8227700000000000e-06,0,0,2.0403799999999999e-05,0,0,-2.0403799999999999e-05,2.5475300000000000e-05,-1.6763600000000000e-05,5.8227700000000000e-06,5.8227700000000000e-06,2.0403799999999999e-05,-2.0403799999999999e-05,8.7084364037081796e-01,6.2530703150418199e-01,5.8205611021747083e-01,4.1794388978252922e-01,2.0401361548151569e-05,-2.0401361548151569e-05,5.8218433389664868e-06,2.5471276795125741e-05,-1.6760921971980039e-05,5.8218433389664860e-06,9.2666103351402994e-10,1.5916966850380165e-04,2.4384518484305581e-09,1.1952397016009552e-04,4.0232048742593204e-09,1.5795064961480703e-04,9.3889782529221755e-05,2.2464686007935477e-04,2.6780280199606638e-09,1.5977807573232329e-04,9.2666103351318291e-10,1.5916966850365615e-04,2.4384518484305581e-09,1.1952397016009552e-04,9.3889782529110732e-05,1.6130709888754512e-04
