z,rho,rho_a,rho_b,wa,wb,x,y,Na_z,Na_x,Na_y,Nb_z,Nb_x,Nb_y,U_z,U_x,U_y,U_ver_z,U_ver_x,U_ver_y,ja_z,ja_x,ja_y,jb_z,Na,Nb,U,U_ver,ja,jb,rho_a_analytical,rho_b_analytical,wa_analytical,wb_analytical,ja_analytical,jb_analytical,U_analytical,Na_analytical,Nb_analytical,U_ver_analytical,Nb_abs_error,Nb_rel_error,ja_abs_error,ja_rel_error,Na_abs_error,Na_rel_error,jb_abs_error,jb_rel_error,U_abs_error,U_rel_error,wa_abs_error,wa_rel_error,U_ver_abs_error,U_ver_rel_error,wb_abs_error,wb_rel_error
0.0000000000000000e+00,1.4961500000000001e+00,1.4213400000000000e+00,7.4807499999999999e-02,9.4999999999999996e-01,5.0000000000000003e-02,0,0,2.5471300000000001e-05,0,0,-1.6760900000000001e-05,0,0,5.8218400000000002e-06,0,0,5.8218400000000002e-06,0,0,1.7196400000000000e-05,0,0,-1.7196400000000000e-05,2.5471300000000001e-05,-1.6760900000000001e-05,5.8218400000000002e-06,5.8218400000000002e-06,1.7196400000000000e-05,-1.7196400000000000e-05,1.4213431382812498e+00,7.4807533593750142e-02,9.4999999999999996e-01,5.0000000000000100e-02,1.7196439713137327e-05,-1.7196439713137327e-05,5.8218433389664868e-06,2.5471276795125741e-05,-1.6760921971980039e-05,5.8218433389664860e-06,2.1971980038480244e-11,1.3109051378144124e-06,3.9713137326444301e-11,2.3093812253895778e-06,2.3204874260713930e-11,9.1102120778387033e-07,3.9713137326444301e-11,2.3093812253895778e-06,3.3389664866540283e-12,5.7352383407193136e-07,0.0000000000000000e+00,0.0000000000000000e+00,3.3389664858069954e-12,5.7352383392643927e-07,9.7144514654701197e-17,1.9428902930551623e-15
5.5000000000000000e-02,1.4961500000000001e+00,1.3596800000000000e+00,1.3646700000000000e-01,9.0878800000000004e-01,9.1212100000000004e-02,0,0,2.5471300000000001e-05,0,0,-1.6761000000000001e-05,0,0,5.8218400000000002e-06,0,0,5.8218400000000002e-06,0,0,1.7555500000000002e-05,0,0,-1.7555500000000002e-05,2.5471300000000001e-05,-1.6761000000000001e-05,5.8218400000000002e-06,5.8218400000000002e-06,1.7555500000000002e-05,-1.7555500000000002e-05,1.3596888744731568e+00,1.3646179740184317e-01,9.0879140719776097e-01,9.1208592802239002e-02,1.7555381178207353e-05,-1.7555381178207353e-05,5.8218433389664868e-06,2.5471276795125741e-05,-1.6760921971980039e-05,5.8218433389664860e-06,7.8028019961739028e-11,4.6553534129464021e-06,1.1882179264897366e-10,6.7683968051960123e-06,2.3204874260713930e-11,9.1102120778387033e-07,1.1882179264897366e-10,6.7683968051960123e-06,3.3389664866540283e-12,5.7352383407193136e-07,3.4071977609295701e-06,3.7491527031839384e-06,3.3389664858069954e-12,5.7352383392643927e-07,3.5071977610018346e-06,3.8452492832202610e-05
1.0500000000000000e-01,1.4961500000000001e+00,1.3025199999999999e+00,1.9363300000000000e-01,8.7058000000000002e-01,1.2942000000000001e-01,0,0,2.5471300000000001e-05,0,0,-1.6761000000000001e-05,0,0,5.8218400000000002e-06,0,0,5.8218400000000002e-06,0,0,1.7888199999999999e-05,0,0,-1.7888199999999999e-05,2.5471300000000001e-05,-1.6761000000000001e-05,5.8218400000000002e-06,5.8218400000000002e-06,1.7888199999999999e-05,-1.7888199999999999e-05,1.3025235059468971e+00,1.9362716592810281e-01,8.7058311066662419e-01,1.2941688933337586e-01,1.7888188998181521e-05,-1.7888188998181521e-05,5.8218433389664851e-06,2.5471276795125737e-05,-1.6760921971980036e-05,5.8218433389664860e-06,7.8028019965127159e-11,4.6553534131485482e-06,1.1001818478185684e-11,6.1503251470965525e-07,2.3204874264102062e-11,9.1102120791688818e-07,1.1001818478185684e-11,6.1503251470965525e-07,3.3389664849599624e-12,5.7352383378094706e-07,3.1106666241731418e-06,3.5730840468380608e-06,3.3389664858069954e-12,5.7352383392643927e-07,3.1106666241453862e-06,2.4036017556474580e-05
1.5500000000000000e-01,1.4961500000000001e+00,1.2442700000000000e+00,2.5188199999999999e-01,8.3164700000000003e-01,1.6835300000000000e-01,0,0,2.5471300000000001e-05,0,0,-1.6761000000000001e-05,0,0,5.8218400000000002e-06,0,0,5.8218400000000002e-06,0,0,1.8227400000000001e-05,0,0,-1.8227400000000001e-05,2.5471300000000001e-05,-1.6761000000000001e-05,5.8218400000000002e-06,5.8218400000000002e-06,1.8227400000000001e-05,-1.8227400000000001e-05,1.2442744194720428e+00,2.5187625240295719e-01,8.3165047669476910e-01,1.6834952330523092e-01,1.8227306054276039e-05,-1.8227306054276039e-05,5.8218433389664868e-06,2.5471276795125744e-05,-1.6760921971980039e-05,5.8218433389664885e-06,7.8028019961739028e-11,4.6553534129464021e-06,9.3945723962196408e-11,5.1541197875501413e-06,2.3204874257325798e-11,9.1102120765085249e-07,9.3945723962196408e-11,5.1541197875501413e-06,3.3389664866540283e-12,5.7352383407193136e-07,3.4766947690778593e-06,4.1804758928187203e-06,3.3389664883480942e-12,5.7352383436291556e-07,3.4766947690778593e-06,2.0651646056363859e-05
2.0499999999999999e-01,1.4961500000000001e+00,1.1849200000000000e+00,3.1123499999999998e-01,7.9197600000000001e-01,2.0802399999999999e-01,0,0,2.5471300000000001e-05,0,0,-1.6761000000000001e-05,0,0,5.8218400000000002e-06,0,0,5.8218400000000002e-06,0,0,1.8573000000000000e-05,0,0,-1.8573000000000000e-05,2.5471300000000001e-05,-1.6761000000000001e-05,5.8218400000000002e-06,5.8218400000000002e-06,1.8573000000000000e-05,-1.8573000000000000e-05,1.1849210703617952e+00,3.1122960151320478e-01,7.9197977358579341e-01,2.0802022641420659e-01,1.8572851954438886e-05,-1.8572851954438886e-05,5.8218433389664860e-06,2.5471276795125741e-05,-1.6760921971980039e-05,5.8218433389664860e-06,7.8028019961739028e-11,4.6553534129464021e-06,1.4804556111434235e-10,7.9710726982824513e-06,2.3204874260713930e-11,9.1102120778387033e-07,1.4804556111434235e-10,7.9710726982824513e-06,3.3389664858069954e-12,5.7352383392643927e-07,3.7735857933984818e-06,4.7647502111175229e-06,3.3389664858069954e-12,5.7352383392643927e-07,3.7735857933984818e-06,1.8140475368325177e-05
2.5500000000000000e-01,1.4961500000000001e+00,1.1244400000000001e+00,3.7171399999999999e-01,7.5155300000000003e-01,2.4844700000000000e-01,0,0,2.5471300000000001e-05,0,0,-1.6761000000000001e-05,0,0,5.8218400000000002e-06,0,0,5.8218400000000002e-06,0,0,1.8924999999999999e-05,0,0,-1.8924999999999999e-05,2.5471300000000001e-05,-1.6761000000000001e-05,5.8218400000000002e-06,5.8218400000000002e-06,1.8924999999999999e-05,-1.8924999999999999e-05,1.1244425244514873e+00,3.7170814742351266e-01,7.5155700932334435e-01,2.4844299067665562e-01,1.8924948574097190e-05,-1.8924948574097190e-05,5.8218433389664860e-06,2.5471276795125741e-05,-1.6760921971980039e-05,5.8218433389664860e-06,7.8028019961739028e-11,4.6553534129464021e-06,5.1425902808887019e-11,2.7173600969206428e-06,2.3204874260713930e-11,9.1102120778387033e-07,5.1425902808887019e-11,2.7173600969206428e-06,3.3389664858069954e-12,5.7352383392643927e-07,4.0093233443228016e-06,5.3346895772114674e-06,3.3389664858069954e-12,5.7352383392643927e-07,4.0093233443783127e-06,1.6137800198920653e-05
3.0499999999999999e-01,1.4961500000000001e+00,1.0628100000000000e+00,4.3333899999999997e-01,7.1036400000000000e-01,2.8963600000000000e-01,0,0,2.5471300000000001e-05,0,0,-1.6761000000000001e-05,0,0,5.8218400000000002e-06,0,0,5.8218400000000002e-06,0,0,1.9283800000000000e-05,0,0,-1.9283800000000000e-05,2.5471300000000001e-05,-1.6761000000000001e-05,5.8218400000000002e-06,5.8218400000000002e-06,1.9283800000000000e-05,-1.9283800000000000e-05,1.0628174507150225e+00,4.3333322115997741e-01,7.1036792663608050e-01,2.8963207336391950e-01,1.9283720099143148e-05,-1.9283720099143148e-05,5.8218433389664868e-06,2.5471276795125744e-05,-1.6760921971980043e-05,5.8218433389664860e-06,7.8028019958350896e-11,4.6553534127442569e-06,7.9900856852328176e-11,4.1434356181327727e-06,2.3204874257325798e-11,9.1102120765085249e-07,7.9900856852328176e-11,4.1434356181327727e-06,3.3389664866540283e-12,5.7352383407193136e-07,3.9266360805090272e-06,5.5276089097911993e-06,3.3389664858069954e-12,5.7352383392643927e-07,3.9266360805090272e-06,1.3557324763413530e-05
3.5499999999999998e-01,1.4961500000000001e+00,1.0000199999999999e+00,4.9613200000000002e-01,6.6839400000000004e-01,3.3160600000000001e-01,0,0,2.5471300000000001e-05,0,0,-1.6761000000000001e-05,0,0,5.8218400000000002e-06,0,0,5.8218400000000002e-06,0,0,1.9649299999999998e-05,0,0,-1.9649299999999998e-05,2.5471300000000001e-05,-1.6761000000000001e-05,5.8218400000000002e-06,5.8218400000000002e-06,1.9649299999999998e-05,-1.9649299999999998e-05,1.0000241137413317e+00,4.9612655813366824e-01,6.6839799796907184e-01,3.3160200203092816e-01,1.9649293069734907e-05,-1.9649293069734907e-05,5.8218433389664877e-06,2.5471276795125744e-05,-1.6760921971980039e-05,5.8218433389664885e-06,7.8028019961739028e-11,4.6553534129464021e-06,6.9302650911821223e-12,3.5269791711533078e-07,2.3204874257325798e-11,9.1102120765085249e-07,6.9302650911821223e-12,3.5269791711533078e-07,3.3389664875010613e-12,5.7352383421742346e-07,3.9979690718006111e-06,5.9814198784892593e-06,3.3389664883480942e-12,5.7352383436291556e-07,3.9979690718561223e-06,1.2056528752414407e-05
4.0500000000000003e-01,1.4961500000000001e+00,9.3603499999999995e-01,5.6011599999999995e-01,6.2562899999999999e-01,3.7437100000000001e-01,0,0,2.5471300000000001e-05,0,0,-1.6761000000000001e-05,0,0,5.8218400000000002e-06,0,0,5.8218400000000002e-06,0,0,2.0021899999999999e-05,0,0,-2.0021899999999999e-05,2.5471300000000001e-05,-1.6761000000000001e-05,5.8218400000000002e-06,5.8218400000000002e-06,2.0021899999999999e-05,-2.0021899999999999e-05,9.3604036606821062e-01,5.6011030580678933e-01,6.2563242035987587e-01,3.7436757964012418e-01,2.0021796424927781e-05,-2.0021796424927781e-05,5.8218433389664868e-06,2.5471276795125744e-05,-1.6760921971980043e-05,5.8218433389664860e-06,7.8028019958350896e-11,4.6553534127442569e-06,1.0357507221819351e-10,5.1731155809837143e-06,2.3204874257325798e-11,9.1102120765085249e-07,1.0357507221819351e-10,5.1731155809837143e-06,3.3389664866540283e-12,5.7352383407193136e-07,3.4203598758830722e-06,5.4670438496619915e-06,3.3389664858069954e-12,5.7352383392643927e-07,3.4203598758275611e-06,9.1363677354390102e-06
4.5500000000000002e-01,1.4961500000000001e+00,8.7083800000000000e-01,6.2531300000000001e-01,5.8205200000000001e-01,4.1794799999999999e-01,0,0,2.5471300000000001e-05,0,0,-1.6761000000000001e-05,0,0,5.8218400000000002e-06,0,0,5.8218400000000002e-06,0,0,2.0401500000000001e-05,0,0,-2.0401500000000001e-05,2.5471300000000001e-05,-1.6761000000000001e-05,5.8218400000000002e-06,5.8218400000000002e-06,2.0401500000000001e-05,-2.0401500000000001e-05,8.7084364037081796e-01,6.2530703150418199e-01,5.8205611021747083e-01,4.1794388978252922e-01,2.0401361548151569e-05,-2.0401361548151569e-05,5.8218433389664868e-06,2.5471276795125741e-05,-1.6760921971980039e-05,5.8218433389664860e-06,7.8028019961739028e-11,4.6553534129464021e-06,1.3845184843229116e-10,6.7864020408203257e-06,2.3204874260713930e-11,9.1102120778387033e-07,1.3845184843229116e-10,6.7864020408203257e-06,3.3389664866540283e-12,5.7352383407193136e-07,4.1102174708207428e-06,7.0615485322849727e-06,3.3389664858069954e-12,5.7352383392643927e-07,4.1102174707652317e-06,9.8343762673359983e-06
