z,rho,rho_a,rho_b,wa,wb,x,y,Na_z,Na_x,Na_y,Nb_z,Nb_x,Nb_y,U_z,U_x,U_y,U_ver_z,U_ver_x,U_ver_y,ja_z,ja_x,ja_y,jb_z,Na,Nb,U,U_ver,ja,jb,rho_a_analytical,rho_b_analytical,wa_analytical,wb_analytical,ja_analytical,jb_analytical,U_analytical,Na_analytical,Nb_analytical,U_ver_analytical,wb_abs_error,wb_rel_error,Na_abs_error,Na_rel_error,jb_abs_error,jb_rel_error,Nb_abs_error,Nb_rel_error,ja_abs_error,ja_rel_error,U_ver_abs_error,U_ver_rel_error,U_abs_error,U_rel_error,wa_abs_error,wa_rel_error
0.0000000000000000e+00,1.1839100000000000e+00,1.1247199999999999e+00,5.9195600000000001e-02,9.4999999999999996e-01,5.0000000000000003e-02,0,0,5.4973599999999998e-05,0,0,-2.1175799999999999e-21,0,0,4.6433900000000003e-05,0,0,4.6433900000000003e-05,0,0,2.7486799999999999e-06,0,0,-2.7486799999999999e-06,5.4973599999999998e-05,-2.1175799999999999e-21,4.6433900000000003e-05,4.6433900000000003e-05,2.7486799999999999e-06,-2.7486799999999999e-06,1.1247164000000001e+00,5.9195600000000015e-02,9.4999999999999996e-01,5.0000000000000010e-02,2.3216925120043449e-06,-2.3216925120043449e-06,3.9220693970571167e-05,4.6433850240086860e-05,-1.6940658945086007e-21,3.9220693970571174e-05,6.9388939039072284e-18,1.3877787807536899e-16,8.5397497599131383e-06,1.8391215744216963e-01,4.2698748799565497e-07,1.8391208218824359e-01,4.2351410549139921e-22,4.2351410477393842e-10,4.2698748799565497e-07,1.8391208218824359e-01,7.2132060294288286e-06,1.8391326402658545e-01,7.2132060294288354e-06,1.8391326402658564e-01,0.0000000000000000e+00,0.0000000000000000e+00
5.5000000000000000e-02,1.1839100000000000e+00,1.1141099999999999e+00,6.9798499999999999e-02,9.4104399999999999e-01,5.8955800000000003e-02,0,0,5.4973599999999998e-05,0,0,3.8930900000000001e-19,0,0,4.6433900000000003e-05,0,0,4.6433900000000003e-05,0,0,3.2410200000000001e-06,0,0,-3.2410200000000001e-06,5.4973599999999998e-05,3.8930900000000001e-19,4.6433900000000003e-05,4.6433900000000003e-05,3.2410200000000001e-06,-3.2410200000000001e-06,1.1141135020742126e+00,6.9798497925787517e-02,9.4104418408987534e-01,5.8955815910124665e-02,2.7375455267528575e-06,-2.7375455267528575e-06,3.9220693970571154e-05,4.6433850240086840e-05,0.0000000000000000e+00,3.9220693970571154e-05,1.5910124662177338e-08,2.6986522731127494e-07,8.5397497599131586e-06,1.8391215744217015e-01,5.0347447324714258e-07,1.8391448997374271e-01,3.8930900000000001e-19,3.8930900000000001e-07,5.0347447324714258e-07,1.8391448997374271e-01,7.2132060294288490e-06,1.8391326402658606e-01,7.2132060294288490e-06,1.8391326402658606e-01,1.8408987534357379e-07,1.9562298822495725e-07
1.0500000000000000e-01,1.1839100000000000e+00,1.1028300000000000e+00,8.1076999999999996e-02,9.3151799999999996e-01,6.8482299999999996e-02,0,0,5.4973599999999998e-05,0,0,-9.0583000000000002e-19,0,0,4.6433900000000003e-05,0,0,4.6433900000000003e-05,0,0,3.7647199999999998e-06,0,0,-3.7647199999999998e-06,5.4973599999999998e-05,-9.0583000000000002e-19,4.6433900000000003e-05,4.6433900000000003e-05,3.7647199999999998e-06,-3.7647199999999998e-06,1.1028350175839219e+00,8.1076982416078192e-02,9.3151772900681962e-01,6.8482270993180397e-02,3.1798955153983848e-06,-3.1798955153983848e-06,3.9220693970571201e-05,4.6433850240086894e-05,4.2351647362715017e-22,3.9220693970571201e-05,2.9006819599053379e-08,4.2356684698026982e-07,8.5397497599131044e-06,1.8391215744216877e-01,5.8482448460161508e-07,1.8391305558833476e-01,9.0625351647362717e-19,9.0625351608981392e-07,5.8482448460161508e-07,1.8391305558833476e-01,7.2132060294288015e-06,1.8391326402658462e-01,7.2132060294288015e-06,1.8391326402658462e-01,2.7099318034018438e-07,2.9091575168282122e-07
1.5500000000000000e-01,1.1839100000000000e+00,1.0897300000000001e+00,9.4177800000000006e-02,9.2045200000000005e-01,7.9547999999999994e-02,0,0,5.4973599999999998e-05,0,0,-6.9084300000000001e-19,0,0,4.6433900000000003e-05,0,0,4.6433900000000003e-05,0,0,4.3730399999999997e-06,0,0,-4.3730399999999997e-06,5.4973599999999998e-05,-6.9084300000000001e-19,4.6433900000000003e-05,4.6433900000000003e-05,4.3730399999999997e-06,-4.3730399999999997e-06,1.0897340839553562e+00,9.4177916044643872e-02,9.2045192882186866e-01,7.9548071178131369e-02,3.6937232239731201e-06,-3.6937232239731201e-06,3.9220693970571167e-05,4.6433850240086853e-05,1.2705494208814505e-21,3.9220693970571167e-05,7.1178131375027043e-08,8.9478136075409832e-07,8.5397497599131451e-06,1.8391215744216979e-01,6.7931677602687961e-07,1.8391107046323532e-01,6.9211354942088147e-19,6.9211354854151698e-07,6.7931677602687961e-07,1.8391107046323532e-01,7.2132060294288354e-06,1.8391326402658564e-01,7.2132060294288354e-06,1.8391326402658564e-01,7.1178131388904831e-08,7.7329547758058227e-08
2.0499999999999999e-01,1.1839100000000000e+00,1.0745199999999999e+00,1.0939500000000001e-01,9.0759800000000002e-01,9.2401899999999995e-02,0,0,5.4973599999999998e-05,0,0,-2.3760699999999999e-19,0,0,4.6433900000000003e-05,0,0,4.6433900000000003e-05,0,0,5.0796700000000003e-06,0,0,-5.0796700000000003e-06,5.4973599999999998e-05,-2.3760699999999999e-19,4.6433900000000003e-05,4.6433900000000003e-05,5.0796700000000003e-06,-5.0796700000000003e-06,1.0745162182848547e+00,1.0939578171514541e-01,9.0759804637916885e-01,9.2401953620831118e-02,4.2905784763211258e-06,-4.2905784763211258e-06,3.9220693970571174e-05,4.6433850240086867e-05,-1.6940658945086007e-21,3.9220693970571174e-05,5.3620831122480617e-08,5.8029975580312862e-07,8.5397497599131315e-06,1.8391215744216946e-01,7.8909152367887451e-07,1.8391257591980692e-01,2.3591293410549139e-19,2.3591293370583933e-07,7.8909152367887451e-07,1.8391257591980692e-01,7.2132060294288286e-06,1.8391326402658545e-01,7.2132060294288286e-06,1.8391326402658545e-01,4.6379168838761586e-08,5.1101001179694671e-08
2.5500000000000000e-01,1.1839100000000000e+00,1.0568400000000000e+00,1.2707299999999999e-01,8.9266699999999999e-01,1.0733300000000000e-01,0,0,5.4973599999999998e-05,0,0,-1.5226800000000001e-18,0,0,4.6433900000000003e-05,0,0,4.6433900000000003e-05,0,0,5.9004700000000001e-06,0,0,-5.9004700000000001e-06,5.4973599999999998e-05,-1.5226800000000001e-18,4.6433900000000003e-05,4.6433900000000003e-05,5.9004700000000001e-06,-5.9004700000000001e-06,1.0568393532513212e+00,1.2707264674867891e-01,8.9266715199383151e-01,1.0733284800616845e-01,4.9838773901604274e-06,-4.9838773901604274e-06,3.9220693970571127e-05,4.6433850240086806e-05,-1.6940658945086007e-21,3.9220693970571127e-05,1.5199383154862467e-07,1.4160980014102807e-06,8.5397497599131925e-06,1.8391215744217101e-01,9.1659260983957272e-07,1.8391151189587276e-01,1.5209859341054915e-18,1.5209859315288412e-06,9.1659260983957272e-07,1.8391151189587276e-01,7.2132060294288761e-06,1.8391326402658686e-01,7.2132060294288761e-06,1.8391326402658686e-01,1.5199383152086909e-07,1.7026932287270848e-07
3.0499999999999999e-01,1.1839100000000000e+00,1.0363100000000001e+00,1.4760499999999999e-01,8.7532399999999999e-01,1.2467600000000000e-01,0,0,5.4973599999999998e-05,0,0,-9.6290000000000009e-19,0,0,4.6433900000000003e-05,0,0,4.6433900000000003e-05,0,0,6.8539100000000004e-06,0,0,-6.8539100000000004e-06,5.4973599999999998e-05,-9.6290000000000009e-19,4.6433900000000003e-05,4.6433900000000003e-05,6.8539100000000004e-06,-6.8539100000000004e-06,1.0363061481239131e+00,1.4760585187608699e-01,8.7532362888788440e-01,1.2467637111211557e-01,5.7892039446974676e-06,-5.7892039446974676e-06,3.9220693970571174e-05,4.6433850240086867e-05,-8.4703294725430034e-22,3.9220693970571174e-05,3.7111211557971924e-07,2.9766034435107116e-06,8.5397497599131315e-06,1.8391215744216946e-01,1.0647060553025328e-06,1.8391231014851769e-01,9.6205296705274579e-19,9.6205296623785524e-07,1.0647060553025328e-06,1.8391231014851769e-01,7.2132060294288286e-06,1.8391326402658545e-01,7.2132060294288286e-06,1.8391326402658545e-01,3.7111211559359703e-07,4.2397132140106648e-07
3.5499999999999998e-01,1.1839100000000000e+00,1.0124599999999999e+00,1.7145700000000000e-01,8.5517799999999999e-01,1.4482200000000001e-01,0,0,5.4973599999999998e-05,0,0,-2.8418100000000003e-19,0,0,4.6433900000000003e-05,0,0,4.6433900000000003e-05,0,0,7.9614100000000004e-06,0,0,-7.9614100000000004e-06,5.4973599999999998e-05,-2.8418100000000003e-19,4.6433900000000003e-05,4.6433900000000003e-05,7.9614100000000004e-06,-7.9614100000000004e-06,1.0124550573335260e+00,1.7145694266647404e-01,8.5517762919332341e-01,1.4482237080667654e-01,6.7246602774515456e-06,-6.7246602774515456e-06,3.9220693970571154e-05,4.6433850240086846e-05,-3.3881317890172014e-21,3.9220693970571154e-05,3.7080667653066612e-07,2.5604240177996790e-06,8.5397497599131518e-06,1.8391215744216996e-01,1.2367497225484548e-06,1.8391256771480802e-01,2.8079286821098283e-19,2.8079286725961961e-07,1.2367497225484548e-06,1.8391256771480802e-01,7.2132060294288490e-06,1.8391326402658606e-01,7.2132060294288490e-06,1.8391326402658606e-01,3.7080667658617728e-07,4.3360193710342987e-07
4.0500000000000003e-01,1.1839100000000000e+00,9.8475000000000001e-01,1.9916200000000001e-01,8.3177599999999996e-01,1.6822400000000001e-01,0,0,5.4973599999999998e-05,0,0,6.3740900000000001e-19,0,0,4.6433900000000003e-05,0,0,4.6433900000000003e-05,0,0,9.2478600000000006e-06,0,0,-9.2478600000000006e-06,5.4973599999999998e-05,6.3740900000000001e-19,4.6433900000000003e-05,4.6433900000000003e-05,9.2478600000000006e-06,-9.2478600000000006e-06,9.8474995584735125e-01,1.9916204415264882e-01,8.3177631094823867e-01,1.6822368905176130e-01,7.8112735842644216e-06,-7.8112735842644216e-06,3.9220693970571154e-05,4.6433850240086840e-05,-1.6940658945086007e-21,3.9220693970571154e-05,3.1094823871313793e-07,1.8484212328479661e-06,8.5397497599131586e-06,1.8391215744217015e-01,1.4365864157355790e-06,1.8391190838810600e-01,6.3910306589450861e-19,6.3910306481182597e-07,1.4365864157355790e-06,1.8391190838810600e-01,7.2132060294288490e-06,1.8391326402658606e-01,7.2132060294288490e-06,1.8391326402658606e-01,3.1094823871313793e-07,3.7383637237549837e-07
4.5500000000000002e-01,1.1839100000000000e+00,9.5256900000000000e-01,2.3134299999999999e-01,8.0459400000000003e-01,1.9540600000000000e-01,0,0,5.4973599999999998e-05,0,0,-3.1447099999999999e-19,0,0,4.6433900000000003e-05,0,0,4.6433900000000003e-05,0,0,1.0742200000000000e-05,0,0,-1.0742200000000000e-05,5.4973599999999998e-05,-3.1447099999999999e-19,4.6433900000000003e-05,4.6433900000000003e-05,1.0742200000000000e-05,-1.0742200000000000e-05,9.5256808814557703e-01,2.3134391185442305e-01,8.0459365911113068e-01,1.9540634088886930e-01,9.0734687687971146e-06,-9.0734687687971146e-06,3.9220693970571147e-05,4.6433850240086833e-05,-1.6940658945086007e-21,3.9220693970571147e-05,3.4088886929906081e-07,1.7445128328316902e-06,8.5397497599131654e-06,1.8391215744217032e-01,1.6687312312028857e-06,1.8391324087963676e-01,3.1277693410549139e-19,3.1277693357562667e-07,1.6687312312028857e-06,1.8391324087963676e-01,7.2132060294288557e-06,1.8391326402658625e-01,7.2132060294288557e-06,1.8391326402658625e-01,3.4088886935457197e-07,4.2367829461984939e-07
