z,rho,rho_a,rho_b,wa,wb,x,y,Na_z,Na_x,Na_y,Nb_z,Nb_x,Nb_y,U_z,U_x,U_y,U_ver_z,U_ver_x,U_ver_y,ja_z,ja_x,ja_y,jb_z,Na,Nb,U,U_ver,ja,jb,rho_a_analytical,rho_b_analytical,wa_analytical,wb_analytical,ja_analytical,jb_analytical,U_analytical,Na_analytical,Nb_analytical,U_ver_analytical,ja_abs_error,ja_rel_error,U_abs_error,U_rel_error,wb_abs_error,wb_rel_error,Nb_abs_error,Nb_rel_error,Na_abs_error,Na_rel_error,U_ver_abs_error,U_ver_rel_error,wa_abs_error,wa_rel_error,jb_abs_error,jb_rel_error
0.0000000000000000e+00,1.1839100000000000e+00,1.1247199999999999e+00,5.9195600000000001e-02,9.4999999999999996e-01,5.0000000000000003e-02,0,0,5.5000799999999997e-05,0,0,-2.1175799999999999e-21,0,0,4.6456899999999999e-05,0,0,4.6456899999999999e-05,0,0,2.7500400000000002e-06,0,0,-2.7500400000000002e-06,5.5000799999999997e-05,-2.1175799999999999e-21,4.6456899999999999e-05,4.6456899999999999e-05,2.7500400000000002e-06,-2.7500400000000002e-06,1.1247164000000001e+00,5.9195600000000015e-02,9.4999999999999996e-01,5.0000000000000010e-02,2.3216925120043449e-06,-2.3216925120043449e-06,3.9220693970571167e-05,4.6433850240086860e-05,-1.6940658945086007e-21,3.9220693970571174e-05,4.2834748799565524e-07,1.8449786148812464e-01,7.2362060294288316e-06,1.8449968912734568e-01,6.9388939039072284e-18,1.3877787807536899e-16,4.2351410549139921e-22,4.2351410477393842e-10,8.5669497599131369e-06,1.8449793698174219e-01,7.2362060294288248e-06,1.8449968912734549e-01,0.0000000000000000e+00,0.0000000000000000e+00,4.2834748799565524e-07,1.8449786148812464e-01
5.5000000000000000e-02,1.1839100000000000e+00,1.1141200000000000e+00,6.9796899999999995e-02,9.4104600000000005e-01,5.8954399999999997e-02,0,0,5.5007199999999997e-05,0,0,-4.8249599999999995e-21,0,0,4.6462299999999997e-05,0,0,4.6462299999999997e-05,0,0,3.2428800000000002e-06,0,0,-3.2428800000000002e-06,5.5007199999999997e-05,-4.8249599999999995e-21,4.6462299999999997e-05,4.6462299999999997e-05,3.2428800000000002e-06,-3.2428800000000002e-06,1.1141135020742126e+00,6.9798497925787517e-02,9.4104418408987534e-01,5.8955815910124665e-02,2.7375455267528575e-06,-2.7375455267528575e-06,3.9220693970571154e-05,4.6433850240086840e-05,0.0000000000000000e+00,3.9220693970571154e-05,5.0533447324714268e-07,1.8459393048071607e-01,7.2416060294288435e-06,1.8463737154230714e-01,1.4159101246677408e-06,2.4016462206242926e-05,4.8249599999999995e-21,4.8249599999999998e-09,8.5733497599131578e-06,1.8463576746164215e-01,7.2416060294288435e-06,1.8463737154230714e-01,1.8159101247139375e-06,1.9296757319299025e-06,5.0533447324714268e-07,1.8459393048071607e-01
1.0500000000000000e-01,1.1839100000000000e+00,1.1028300000000000e+00,8.1085599999999994e-02,9.3150999999999995e-01,6.8489499999999995e-02,0,0,5.5000899999999997e-05,0,0,3.3170200000000000e-20,0,0,4.6456899999999999e-05,0,0,4.6456899999999999e-05,0,0,3.7669899999999998e-06,0,0,-3.7669899999999998e-06,5.5000899999999997e-05,3.3170200000000000e-20,4.6456899999999999e-05,4.6456899999999999e-05,3.7669899999999998e-06,-3.7669899999999998e-06,1.1028350175839219e+00,8.1076982416078192e-02,9.3151772900681962e-01,6.8482270993180397e-02,3.1798955153983848e-06,-3.1798955153983848e-06,3.9220693970571201e-05,4.6433850240086894e-05,4.2351647362715017e-22,3.9220693970571201e-05,5.8709448460161506e-07,1.8462691529697864e-01,7.2362060294287977e-06,1.8449968912734466e-01,7.2290068195979273e-06,1.0556026712683412e-04,3.2746683526372849e-20,3.2746683512504091e-08,8.5670497599131033e-06,1.8450009058298975e-01,7.2362060294287977e-06,1.8449968912734466e-01,7.7290068196678163e-06,8.2972192358594762e-06,5.8709448460161506e-07,1.8462691529697864e-01
1.5500000000000000e-01,1.1839100000000000e+00,1.0897500000000000e+00,9.4157199999999996e-02,9.2046899999999998e-01,7.9530600000000007e-02,0,0,5.5000899999999997e-05,0,0,-4.3179499999999995e-20,0,0,4.6456899999999999e-05,0,0,4.6456899999999999e-05,0,0,4.3742499999999997e-06,0,0,-4.3742499999999997e-06,5.5000899999999997e-05,-4.3179499999999995e-20,4.6456899999999999e-05,4.6456899999999999e-05,4.3742499999999997e-06,-4.3742499999999997e-06,1.0897340839553562e+00,9.4177916044643872e-02,9.2045192882186866e-01,7.9548071178131369e-02,3.6937232239731201e-06,-3.6937232239731201e-06,3.9220693970571167e-05,4.6433850240086853e-05,1.2705494208814505e-21,3.9220693970571167e-05,6.8052677602687956e-07,1.8423865312144969e-01,7.2362060294288316e-06,1.8449968912734568e-01,1.7471178131361897e-05,2.1963044323248509e-04,4.4450049420881445e-20,4.4450049364405462e-08,8.5670497599131439e-06,1.8450009058299077e-01,7.2362060294288316e-06,1.8449968912734568e-01,1.7071178131322640e-05,1.8546517853631235e-05,6.8052677602687956e-07,1.8423865312144969e-01
2.0499999999999999e-01,1.1839100000000000e+00,1.0745700000000000e+00,1.0934000000000001e-01,9.0764500000000004e-01,9.2355099999999996e-02,0,0,5.5000899999999997e-05,0,0,2.5863899999999999e-20,0,0,4.6456899999999999e-05,0,0,4.6456899999999999e-05,0,0,5.0796100000000003e-06,0,0,-5.0796100000000003e-06,5.5000899999999997e-05,2.5863899999999999e-20,4.6456899999999999e-05,4.6456899999999999e-05,5.0796100000000003e-06,-5.0796100000000003e-06,1.0745162182848547e+00,1.0939578171514541e-01,9.0759804637916885e-01,9.2401953620831118e-02,4.2905784763211258e-06,-4.2905784763211258e-06,3.9220693970571174e-05,4.6433850240086867e-05,-1.6940658945086007e-21,3.9220693970571174e-05,7.8903152367887455e-07,1.8389859179474152e-01,7.2362060294288248e-06,1.8449968912734549e-01,4.6853620831122100e-05,5.0706309763619913e-04,2.7557965894508602e-20,2.7557965847823593e-08,8.5670497599131304e-06,1.8450009058299044e-01,7.2362060294288248e-06,1.8449968912734549e-01,4.6953620831180487e-05,5.1733937747495833e-05,7.8903152367887455e-07,1.8389859179474152e-01
2.5500000000000000e-01,1.1839100000000000e+00,1.0569100000000000e+00,1.2700100000000000e-01,8.9272799999999997e-01,1.0727200000000001e-01,0,0,5.5000899999999997e-05,0,0,1.7266699999999998e-20,0,0,4.6456899999999999e-05,0,0,4.6456899999999999e-05,0,0,5.9000700000000001e-06,0,0,-5.9000700000000001e-06,5.5000899999999997e-05,1.7266699999999998e-20,4.6456899999999999e-05,4.6456899999999999e-05,5.9000700000000001e-06,-5.9000700000000001e-06,1.0568393532513212e+00,1.2707264674867891e-01,8.9266715199383151e-01,1.0733284800616845e-01,4.9838773901604274e-06,-4.9838773901604274e-06,3.9220693970571127e-05,4.6433850240086806e-05,-1.6940658945086007e-21,3.9220693970571127e-05,9.1619260983957269e-07,1.8383125311572482e-01,7.2362060294288723e-06,1.8449968912734693e-01,6.0848006168442992e-05,5.6690945314689803e-04,1.8960765894508598e-20,1.8960765862387813e-08,8.5670497599131914e-06,1.8450009058299199e-01,7.2362060294288723e-06,1.8449968912734693e-01,6.0848006168456870e-05,6.8164271568053818e-05,9.1619260983957269e-07,1.8383125311572482e-01
3.0499999999999999e-01,1.1839100000000000e+00,1.0363700000000000e+00,1.4753700000000000e-01,8.7538199999999999e-01,1.2461800000000001e-01,0,0,5.5000899999999997e-05,0,0,8.3407599999999993e-21,0,0,4.6456899999999999e-05,0,0,4.6456899999999999e-05,0,0,6.8541100000000000e-06,0,0,-6.8541100000000000e-06,5.5000899999999997e-05,8.3407599999999993e-21,4.6456899999999999e-05,4.6456899999999999e-05,6.8541100000000000e-06,-6.8541100000000000e-06,1.0363061481239131e+00,1.4760585187608699e-01,8.7532362888788440e-01,1.2467637111211557e-01,5.7892039446974676e-06,-5.7892039446974676e-06,3.9220693970571174e-05,4.6433850240086867e-05,-8.4703294725430034e-22,3.9220693970571174e-05,1.0649060553025324e-06,1.8394685720669063e-01,7.2362060294288248e-06,1.8449968912734549e-01,5.8371112115568335e-05,4.6818103217497218e-04,9.1877929472542996e-21,9.1877929394719366e-09,8.5670497599131304e-06,1.8450009058299044e-01,7.2362060294288248e-06,1.8449968912734549e-01,5.8371112115596091e-05,6.6685178131991067e-05,1.0649060553025324e-06,1.8394685720669063e-01
3.5499999999999998e-01,1.1839100000000000e+00,1.0125400000000000e+00,1.7137100000000000e-01,8.5524999999999995e-01,1.4474999999999999e-01,0,0,5.5000899999999997e-05,0,0,-2.0080499999999998e-20,0,0,4.6456899999999999e-05,0,0,4.6456899999999999e-05,0,0,7.9613600000000003e-06,0,0,-7.9613600000000003e-06,5.5000899999999997e-05,-2.0080499999999998e-20,4.6456899999999999e-05,4.6456899999999999e-05,7.9613600000000003e-06,-7.9613600000000003e-06,1.0124550573335260e+00,1.7145694266647404e-01,8.5517762919332341e-01,1.4482237080667654e-01,6.7246602774515456e-06,-6.7246602774515456e-06,3.9220693970571154e-05,4.6433850240086846e-05,-3.3881317890172014e-21,3.9220693970571154e-05,1.2366997225484547e-06,1.8390513239607043e-01,7.2362060294288452e-06,1.8449968912734610e-01,7.2370806676547161e-05,4.9972118446158615e-04,1.6692368210982796e-20,1.6692368154426854e-08,8.5670497599131507e-06,1.8450009058299097e-01,7.2362060294288452e-06,1.8449968912734610e-01,7.2370806676547161e-05,8.4626636859910456e-05,1.2366997225484547e-06,1.8390513239607043e-01
4.0500000000000003e-01,1.1839100000000000e+00,9.8491300000000004e-01,1.9899900000000001e-01,8.3191400000000004e-01,1.6808600000000001e-01,0,0,5.5000899999999997e-05,0,0,4.1017099999999998e-21,0,0,4.6456899999999999e-05,0,0,4.6456899999999999e-05,0,0,9.2448399999999994e-06,0,0,-9.2448399999999994e-06,5.5000899999999997e-05,4.1017099999999998e-21,4.6456899999999999e-05,4.6456899999999999e-05,9.2448399999999994e-06,-9.2448399999999994e-06,9.8474995584735125e-01,1.9916204415264882e-01,8.3177631094823867e-01,1.6822368905176130e-01,7.8112735842644216e-06,-7.8112735842644216e-06,3.9220693970571154e-05,4.6433850240086840e-05,-1.6940658945086007e-21,3.9220693970571154e-05,1.4335664157355778e-06,1.8352528774541538e-01,7.2362060294288452e-06,1.8449968912734610e-01,1.3768905176128610e-04,8.1848788679281432e-04,5.7957758945086005e-21,5.7957758846901747e-09,8.5670497599131575e-06,1.8450009058299113e-01,7.2362060294288452e-06,1.8449968912734610e-01,1.3768905176136936e-04,1.6553615431080991e-04,1.4335664157355778e-06,1.8352528774541538e-01
4.5500000000000002e-01,1.1839100000000000e+00,9.5271899999999998e-01,2.3119300000000001e-01,8.0472100000000002e-01,1.9527900000000001e-01,0,0,5.5000899999999997e-05,0,0,-3.1391399999999998e-21,0,0,4.6456899999999999e-05,0,0,4.6456899999999999e-05,0,0,1.0740500000000000e-05,0,0,-1.0740500000000000e-05,5.5000899999999997e-05,-3.1391399999999998e-21,4.6456899999999999e-05,4.6456899999999999e-05,1.0740500000000000e-05,-1.0740500000000000e-05,9.5256808814557703e-01,2.3134391185442305e-01,8.0459365911113068e-01,1.9540634088886930e-01,9.0734687687971146e-06,-9.0734687687971146e-06,3.9220693970571147e-05,4.6433850240086833e-05,-1.6940658945086007e-21,3.9220693970571147e-05,1.6670312312028853e-06,1.8372588146330338e-01,7.2362060294288520e-06,1.8449968912734629e-01,1.2734088886928729e-04,6.5167224507344120e-04,1.4450741054913991e-21,1.4450741030433484e-09,8.5670497599131643e-06,1.8450009058299130e-01,7.2362060294288520e-06,1.8449968912734629e-01,1.2734088886934281e-04,1.5826732839264917e-04,1.6670312312028853e-06,1.8372588146330338e-01
